./main.o data_image.txt query_image.txt 10 0.5 1
Pre processing Time: 129 ms
a: 408 , b: 155 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575084 b1:-102400 b2:1091575083 theta: 264010.999994
a: 408 , b: 156 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575088 b1:-102400 b2:1091575087 theta: 264011.999994
a: 408 , b: 157 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575092 b1:-102400 b2:1091575091 theta: 264012.999994
a: 408 , b: 158 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575096 b1:-102400 b2:1091575095 theta: 264013.999994
a: 408 , b: 159 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575100 b1:-102400 b2:1091575099 theta: 264014.999994
a: 408 , b: 256 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575488 b1:-102400 b2:1091575487 theta: 264111.999994
a: 408 , b: 257 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575492 b1:-102400 b2:1091575491 theta: 264112.999994
a: 408 , b: 258 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575496 b1:-102400 b2:1091575495 theta: 264113.999994
a: 408 , b: 259 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575500 b1:-102400 b2:1091575499 theta: 264114.999994
a: 408 , b: 260 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575504 b1:-102400 b2:1091575503 theta: 264115.999994
a: 408 , b: 261 p: 0 q: 0 r: 0 , s: 0 , a1*N+b1: 0 , a2*N+b2: 0 , a1*N+b2: 0 ,a2*N+b1: 0 ,a1:0 a2:1091575508 b1:-102400 b2:1091575507 theta: 264116.999994
